iter	RMSE
275	154.9790275
276	154.9265321
277	154.7794307
278	154.7195313
279	154.6544656
280	154.5542899
281	154.4326596
282	154.347956
283	154.2751271
284	154.138169
285	154.0429301
286	153.921731
287	153.7103163
288	153.6235018
289	153.5368612
290	153.3954358
291	153.2705635
292	153.215271
293	153.0893439
294	152.9913814
295	152.8631902
296	152.7970179
297	152.6755584
298	152.5691113
299	152.4912366
300	152.4213838
301	152.3469847
302	152.287667
303	152.1798909
304	152.031112
305	151.9625236
306	151.8362378
307	151.7870075
308	151.6544965
309	151.5356054
310	151.48639
311	151.4055208
312	151.3006665
313	151.13585
314	151.0419984
315	150.9972287
316	150.863752
317	150.8258189
318	150.6734724
319	150.5688153
320	150.4667055
321	150.4171391
322	150.2891383
323	150.0297166
324	149.9605662
325	149.8940709
326	149.7916242
327	149.7119905
328	149.6355047
329	149.5961588
330	149.4828948
331	149.3966103
332	149.3266203
333	149.2911545
334	149.2283409
335	149.1697703
336	149.0878733
337	148.8615542
338	148.7500342
339	148.7141533
340	148.6672925
341	148.5677228
342	148.4268792
343	148.3027318
344	148.2460469
345	148.1695844
346	148.1142466
347	147.9685652
348	147.9025243
349	147.8663185
350	147.8180762
351	147.7175219
352	147.6437669
353	147.5534139
354	147.4869439
355	147.4211251
356	147.3521081
357	147.2954939
358	147.194532
359	147.1356163
360	147.0068387
361	146.9309669
362	146.8755008
363	146.7541484
364	146.637804
365	146.5831116
366	146.463947
367	146.3663687
368	146.3239538
369	146.2314656
370	146.112241
371	146.0235684
372	145.9925857
373	145.9608258
374	145.8462252
375	145.7758079
376	145.6765653
377	145.5560955
378	145.5277735
379	145.4090771
380	145.3188708
381	145.2760012
382	145.1812831
383	145.1054601
384	145.0750884
385	145.0295278
386	144.9881418
387	144.9254986
388	144.8621498
389	144.7827783
390	144.6940788
391	144.6629341
392	144.5365428
393	144.4473351
394	144.4074022
395	144.3803759
396	144.3314619
397	144.2740153
398	144.15582
399	144.131856
400	144.0910528
401	144.0056277
402	143.958886
403	143.8440574
404	143.7895378
405	143.727318
406	143.6913234
407	143.5656456
408	143.4724867
409	143.4394246
410	143.3345105
411	143.2898426
412	143.2412408
413	143.1782685
414	143.1368468
415	143.0177323
416	142.9807195
417	142.8424123
418	142.727756
419	142.6308678
420	142.5528304
421	142.5238902
422	142.4453497
423	142.3622221
424	142.3213526
425	142.2867041
426	142.2009283
427	142.1366174
428	142.079805
429	141.9972911
430	141.9602611
431	141.9008103
432	141.7859911
433	141.750006
434	141.7350854
435	141.6110761
436	141.5303725
437	141.4881134
438	141.3817181
439	141.2756926
440	141.2376924
441	141.1969827
442	141.0954174
443	141.0169668
444	140.911146
445	140.8756137
446	140.8400052
447	140.6771168
448	140.6133223
449	140.4870945
450	140.4367968
451	140.3265426
452	140.2846529
453	140.2287503
454	140.1891803
455	140.1515603
456	140.0978001
457	140.0274378
458	139.9718226
459	139.9381103
460	139.8697978
461	139.7357081
462	139.6605845
463	139.6139134
464	139.5002311
465	139.4791162
466	139.4466645
467	139.3857886
468	139.3279751
469	139.2344052
470	139.1811664
471	139.1534509
472	139.0722887
473	139.0216689
474	138.9393847
475	138.9033303
476	138.7806565
477	138.7125835
478	138.6699464
479	138.5921774
480	138.5313186
481	138.4419242
482	138.3766852
483	138.3072084
484	138.2714187
485	138.1967683
486	138.1636424
487	138.1101996
488	138.0893729
489	138.0211037
490	137.933242
491	137.9141404
492	137.8728085
493	137.8488335
494	137.7884662
495	137.7645171
496	137.7046257
497	137.6767473
498	137.5815296
499	137.5327632
500	137.4567201
501	137.4214559
502	137.3651776
503	137.3001585
504	137.2589614
505	137.1251365
506	137.0270108
507	136.9509665
508	136.9204424
509	136.8118334
510	136.7599523
511	136.6938226
512	136.6546997
513	136.6325258
514	136.5826169
515	136.4710184
516	136.4319954
517	136.3566926
518	136.3032334
519	136.2174218
520	136.182122
521	136.1384868
522	136.1140634
523	136.0819837
524	135.9980605
525	135.9151961
526	135.8456231
527	135.8165482
528	135.7589582
529	135.6706226
530	135.6263812
531	135.5980334
532	135.4988246
533	135.451395
534	135.3788336
535	135.3531235
536	135.3249499
537	135.2354032
538	135.2046373
539	135.1817323
540	135.1630829
541	135.0808705
542	135.0426701
543	134.9916366
544	134.9241797
545	134.8709327
546	134.834582
547	134.7874847
548	134.7062295
549	134.6829401
550	134.6377021
551	134.5777342
552	134.5191931
553	134.4674078
554	134.4390967
555	134.3903135
556	134.3484799
557	134.2489315
558	134.2063784
559	134.1299462
560	134.0810042
561	133.9981275
562	133.9792059
563	133.9261554
564	133.8569594
565	133.7960514
566	133.770501
567	133.7272869
568	133.6805773
569	133.6437742
570	133.6288133
571	133.506962
572	133.474317
573	133.399157
574	133.3384808
575	133.3226788
576	133.1550388
577	133.0936077
578	132.9482608
579	132.804601
580	132.7657229
581	132.7434712
582	132.7055747
583	132.6497059
584	132.6259049
585	132.6089832
586	132.5781118
587	132.511872
588	132.4872002
589	132.4247275
590	132.4020298
591	132.3707537
592	132.3269279
593	132.2084133
594	132.1955927
595	132.1412749
596	132.0960679
597	132.0059107
598	131.9147304
599	131.8891669
600	131.8668049
601	131.81543
602	131.7377609
603	131.6890135
604	131.566875
605	131.5043515
606	131.4515479
607	131.4279162
608	131.4043509
609	131.3492358
610	131.3290585
611	131.2806124
612	131.2380325
613	131.2255837
614	131.1448499
615	131.1298458
616	131.0219778
617	131.0111363
618	130.968108
619	130.8919981
620	130.7845976
621	130.7358679
622	130.7193069
623	130.6968718
624	130.666107
625	130.5204848
626	130.4304919
627	130.4064062
628	130.3643064
629	130.3264518
630	130.2947311
631	130.1996169
632	130.1281707
633	130.0810508
634	129.9971895
635	129.9881309
636	129.9430265
637	129.9265032
638	129.8775582
639	129.8271399
640	129.7934722
641	129.7462345
642	129.6981116
643	129.6456365
644	129.5690119
645	129.5381864
646	129.4289234
647	129.4059542
648	129.3163858
649	129.2630925
650	129.246711
651	129.1936283
652	129.1811154
653	129.0990785
654	129.0403821
655	129.0125239
656	128.9912164
657	128.9451736
658	128.8963813
659	128.8335554
660	128.8112105
661	128.7639373
662	128.6402436
663	128.5636932
664	128.5187571
665	128.4335498
666	128.4018161
667	128.3508652
668	128.3254644
669	128.268958
670	128.1878343
671	128.1272155
672	128.058752
673	128.0384548
674	127.9827058
675	127.9227542
676	127.8335251
677	127.8039084
678	127.7667718
679	127.7355831
680	127.7082232
681	127.630592
682	127.6090393
683	127.5419876
684	127.5242992
685	127.4615496
686	127.4389898
687	127.3679152
688	127.3245135
689	127.2825494
690	127.2681295
691	127.2155041
692	127.2015182
693	127.1661008
694	127.0889338
695	127.0526343
696	126.9998082
697	126.9447909
698	126.858684
699	126.8174458
700	126.7728457
701	126.6810961
702	126.6613367
703	126.5991945
704	126.5310579
705	126.4500357
706	126.4092619
707	126.3803383
708	126.3027169
709	126.2569539
710	126.2334351
711	126.1556715
712	126.1280201
713	126.1043942
714	126.0854016
715	126.0702259
716	126.0598339
717	125.9990564
718	125.9884673
719	125.9505856
720	125.9350314
721	125.8512719
722	125.8247064
723	125.7953646
724	125.7496469
725	125.7129304
726	125.6801615
727	125.6475458
728	125.58665
729	125.5493367
730	125.537895
731	125.5153314
732	125.4435733
733	125.3938869
734	125.3276065
735	125.287875
736	125.238074
737	125.2242661
738	125.2078316
739	125.1531516
740	125.0911494
741	125.0154509
742	124.9593051
743	124.8905805
744	124.8510164
745	124.7948799
746	124.686483
747	124.6622149
748	124.6293618
749	124.5940933
750	124.5787989
751	124.5490892
752	124.494124
753	124.4319253
754	124.407484
755	124.3754166
756	124.3610863
757	124.3458171
758	124.3294429
759	124.2818092
760	124.2188016
761	124.201625
762	124.1237031
763	124.0588347
764	124.0465904
765	124.0316267
766	123.9797923
767	123.9157735
768	123.8413166
769	123.7694177
770	123.6674171
771	123.6154254
772	123.50357
773	123.4660972
774	123.3788655
775	123.3368722
776	123.2959328
777	123.2273158
778	123.1946822
779	123.1201993
780	123.0380073
781	122.9471774
782	122.9384418
783	122.9181256
784	122.8910462
785	122.8363823
786	122.7950133
787	122.7634521
788	122.6989034
789	122.6420773
790	122.6310669
791	122.6123422
792	122.5482258
793	122.5109841
794	122.4844398
795	122.4318781
796	122.3614829
797	122.339362
798	122.267354
799	122.2507139
800	122.2241886
801	122.2120002
802	122.1623074
803	122.1503045
804	122.1256643
805	122.1053517
806	122.0656086
807	122.0404185
808	122.0018414
809	121.9611049
810	121.8820294
811	121.8215782
812	121.7966081
813	121.7259487
814	121.6578236
815	121.615305
816	121.5696225
817	121.4930653
818	121.4799694
819	121.4521338
820	121.4170506
821	121.376796
822	121.3155118
823	121.2747642
824	121.2110833
825	121.1625242
826	121.1256616
827	121.1018407
828	121.0423872
829	121.0142842
830	120.9911661
831	120.9302934
832	120.8592954
833	120.8331301
834	120.7794536
835	120.7522985
836	120.7299289
837	120.698383
838	120.6408665
839	120.6122696
840	120.5763355
841	120.5628637
842	120.5425849
843	120.4760622
844	120.4565684
845	120.4152361
846	120.4031867
847	120.3783751
848	120.3520973
849	120.339017
850	120.2874131
851	120.2285992
852	120.1811106
853	120.1291664
854	120.0263095
855	119.9980041
856	119.9547874
857	119.922955
858	119.8879648
859	119.8762598
860	119.8180482
861	119.7961744
862	119.7414917
863	119.7292698
864	119.6877269
865	119.6488118
866	119.6157355
867	119.5423019
868	119.4960442
869	119.4792447
870	119.455918
871	119.4345974
872	119.3802903
873	119.3365657
874	119.2888912
875	119.237282
876	119.1966634
877	119.1867672
878	119.1662526
879	119.1144218
880	119.0953481
881	119.0754171
882	119.0283361
883	119.0139321
884	118.9959536
885	118.9415626
886	118.9256053
887	118.9172981
888	118.881875
889	118.812905
890	118.7994751
891	118.7603178
892	118.7149737
893	118.7053327
894	118.6938465
895	118.6720513
896	118.6462646
897	118.6288426
898	118.6208018
899	118.6068502
900	118.5580674
901	118.5452303
902	118.5131944
903	118.4802876
904	118.4574223
905	118.4445779
906	118.3892281
907	118.3403452
908	118.2834411
909	118.2404234
910	118.2331447
911	118.1803137
912	118.1510938
913	118.1177096
914	118.0845723
915	118.0647829
916	118.0459711
917	117.9802956
918	117.9474798
919	117.8933272
920	117.8799352
921	117.8654942
922	117.7968472
923	117.7390568
924	117.643754
925	117.6142186
926	117.5884361
927	117.5450434
928	117.4804596
929	117.4203469
930	117.3762509
931	117.3350645
932	117.2613684
933	117.2115083
934	117.1947491
935	117.1433933
936	117.1126262
937	117.0831457
938	117.0559647
939	116.9737193
940	116.943364
941	116.9232884
942	116.9021651
943	116.8722542
944	116.8440873
945	116.7907547
946	116.7760287
947	116.7253212
948	116.6786301
949	116.6700504
950	116.6185566
951	116.5869665
952	116.5486891
953	116.5046688
954	116.4693394
955	116.459752
956	116.4092615
957	116.3413788
958	116.3276281
959	116.3152589
960	116.2997049
961	116.2817964
962	116.2321859
963	116.210648
964	116.1826188
965	116.1416819
966	116.1282263
967	116.095221
968	116.0367329
969	116.0208942
970	116.002021
971	115.9615069
972	115.9328215
973	115.8836658
974	115.8331347
975	115.8077208
976	115.7406472
977	115.7094828
978	115.6874709
979	115.668075
980	115.602649
981	115.5444189
982	115.5099161
983	115.4629432
984	115.4456503
985	115.41153
986	115.4000114
987	115.3824189
988	115.3337386
989	115.314586
990	115.2548347
991	115.2409426
992	115.2258051
993	115.1895217
994	115.1801441
995	115.1065638
996	115.0775497
997	115.0627152
998	115.0339549
999	114.9843429
